#"name","description","install",mode
"chrome","chrome","google-chrome",yay
"spotify","Spotify for Linux","spotify",yay
"slack","Slack","slack-desktop",yay
"zoom","zoom","zoom",yay
"vlc","VLC media player","vlc",pac
